Code,Name,Market,Sector,Industry,Price,MarketCap,PER,PBR,ROE,PSR,Volume_today,Volume_month_avg,Volume_month_max,Volume_month_min,ma20,ma60,ma120,GoldenAlign_YN
005930,삼성전자,KOSPI,Unknown,Unknown,189700,1122955313803400,28.9,2.96,10.85,214.8,25458914,33358152,89427954,19566331,193910.0,163270.0,130970.0,Y
000660,SK하이닉스,KOSPI,Unknown,Unknown,986000,702724531890000,16.72,5.65,44.15,300.92,4352152,4664673,9253420,3285109,965450.0,834017.0,671708.0,Y
005935,삼성전자우,KOSPI,Unknown,Unknown,134100,109422202442400,20.43,2.1,,20.93,2869555,5972085,13351762,3046954,135895.0,117150.0,96621.0,Y
005380,현대차,KOSPI,Unknown,Unknown,492000,100740820872000,13.93,1.12,8.41,51.85,1082455,2034181,4855346,770000,539800.0,463092.0,360979.0,Y
373220,LG에너지솔루션,KOSPI,Unknown,Unknown,392500,91845000000000,85.61,,5.19,342.09,656541,393108,826847,200932,382975.0,388825.0,408046.0,N
402340,SK스퀘어,KOSPI,Unknown,Unknown,595000,78591833425000,8.95,2.84,37.82,1727.56,679224,633353,1146627,342332,582300.0,498592.0,385474.0,Y
207940,삼성바이오로직스,KOSPI,Unknown,Unknown,1547000,71612101197000,58.22,9.61,19.44,1332.49,27709,53462,97725,29429,1636750.0,1729000.0,1705035.0,N
012450,한화에어로스페이스,KOSPI,Unknown,Unknown,1335000,68837140335000,46.72,7.09,19.14,225.37,154321,402143,1295365,111115,1359100.0,1223067.0,1089350.0,Y
034020,두산에너빌리티,KOSPI,Unknown,Unknown,100100,64120170714600,629.56,,1.52,377.77,5096704,6746493,13364978,3105960,101315.0,92770.0,84742.0,Y
000270,기아,KOSPI,Unknown,Unknown,157900,61646212384200,8.26,1.0,12.92,50.58,1544213,1802922,3876333,904634,171975.0,154283.0,133755.0,Y
105560,KB금융,KOSPI,Unknown,Unknown,146900,54771731839500,9.84,0.89,8.86,,1118859,1486244,2845836,803427,153265.0,142413.0,131773.0,Y
329180,HD현대중공업,KOSPI,Unknown,Unknown,516000,54159992100000,,,11.39,297.24,194214,269554,481480,153623,577150.0,573000.0,558608.0,Y
028260,삼성물산,KOSPI,Unknown,Unknown,281500,47848397136000,19.87,0.92,6.02,107.28,340184,494805,993497,233252,300050.0,290267.0,254732.0,Y
068270,셀트리온,KOSPI,Unknown,Unknown,199600,46117232895600,44.88,2.54,5.94,878.81,689973,620324,1535839,359729,215060.0,212315.0,196186.0,Y
032830,삼성생명,KOSPI,Unknown,Unknown,222000,44400000000000,19.28,0.64,4.96,,312515,521820,1080275,208804,221525.0,191985.0,173831.0,Y
055550,신한지주,KOSPI,Unknown,Unknown,90000,42718892490000,9.21,0.75,8.11,,1633427,2113252,3419674,1067616,94060.0,87803.0,81537.0,Y
042660,한화오션,KOSPI,Unknown,Unknown,122300,37474358086200,30.08,6.07,22.59,271.13,798598,2109251,6443038,579582,131850.0,132768.0,125396.0,N
012330,현대모비스,KOSPI,Unknown,Unknown,392500,35612538827500,9.89,0.71,7.68,54.31,236563,406524,1070764,166536,433450.0,425783.0,369158.0,Y
006800,미래에셋증권,KOSPI,Unknown,Unknown,61100,33929832528800,35.28,2.82,7.94,171.74,3162432,5654123,12212256,2521922,67575.0,46889.0,34718.0,Y
035420,NAVER,KOSPI,Unknown,Unknown,213500,33488038213000,17.25,1.16,7.37,249.33,468548,964948,2051989,474188,229525.0,245833.0,249454.0,N
267260,HD현대일렉트릭,KOSPI,Unknown,Unknown,925000,33343599875000,45.51,16.41,41.5,705.13,135896,163778,340891,86102,973650.0,910017.0,836642.0,Y
009150,삼성전기,KOSPI,Unknown,Unknown,437000,32641145152000,48.03,3.46,7.7,255.45,541705,950717,1645328,374842,425750.0,331733.0,279973.0,Y
010130,고려아연,KOSPI,Unknown,Unknown,1543000,32206991167000,40.06,,8.48,150.25,25418,38885,96133,17390,1735050.0,1598483.0,1382733.0,Y
006400,삼성SDI,KOSPI,Unknown,Unknown,397500,32032748175000,47.75,,3.15,212.0,531265,893780,2584055,359325,403000.0,355433.0,317450.0,Y
015760,한국전력,KOSPI,Unknown,Unknown,46750,30011820599750,3.51,0.62,19.4,30.49,1670679,3581091,9721473,1629831,51470.0,54648.0,49788.0,N
086790,하나금융지주,KOSPI,Unknown,Unknown,106500,29641699191000,7.55,0.65,9.17,,711357,1150958,2141242,569082,114640.0,107248.0,98838.0,Y
042700,한미반도체,KOSPI,Unknown,Unknown,296500,28260067300000,132.78,,34.76,3473.89,853963,1862469,6701641,656744,290325.0,213212.0,168688.0,Y
005490,POSCO홀딩스,KOSPI,Unknown,Unknown,339500,27476737204000,41.99,0.46,1.18,37.98,296420,498646,1237021,201085,357575.0,347408.0,324958.0,Y
009540,HD한국조선해양,KOSPI,Unknown,Unknown,379500,26858397522000,12.39,2.16,11.16,90.16,224853,274579,556756,114908,421600.0,420333.0,424438.0,N
298040,효성중공업,KOSPI,Unknown,Unknown,2701000,25185604148000,48.44,10.69,24.41,361.84,38869,47843,75826,20172,2614400.0,2326583.0,2088050.0,Y
