Code,Name,Market,Sector,Industry,Price,MarketCap,PER,PBR,ROE,PSR,Volume_today,Volume_month_avg,Volume_month_max,Volume_month_min,ma20,ma60,ma120,GoldenAlign_YN
005930,삼성전자,KOSPI,Unknown,Unknown,199400,1180375801646800,30.38,3.12,10.85,225.78,35279762,33821891.0,89427954.0,19566331.0,193630.0,160433.0,129078.0,Y
000660,SK하이닉스,KOSPI,Unknown,Unknown,1007000,717691281555000,17.08,5.77,44.15,307.33,3426646,4701716.0,9253420.0,3285109.0,960600.0,820067.0,661262.0,Y
005935,삼성전자우,KOSPI,Unknown,Unknown,139200,113583673228800,21.21,2.18,,21.73,7844733,5940180.0,13351762.0,3046954.0,135820.0,115425.0,95431.0,Y
005380,현대차,KOSPI,Unknown,Unknown,517000,105859765022000,14.63,1.18,8.41,54.49,1049264,2044550.0,4855346.0,770000.0,540800.0,455867.0,356250.0,Y
373220,LG에너지솔루션,KOSPI,Unknown,Unknown,375500,87867000000000,81.9,,5.19,327.43,200932,411393.0,826847.0,213253.0,386650.0,389867.0,407821.0,N
402340,SK스퀘어,KOSPI,Unknown,Unknown,608000,80308965920000,9.15,2.9,37.82,1765.3,656130,622855.0,1146627.0,342332.0,581350.0,488733.0,379174.0,Y
207940,삼성바이오로직스,KOSPI,Unknown,Unknown,1601000,74111812551000,60.25,9.95,19.44,1379.0,31941,53693.0,97725.0,29429.0,1653350.0,1735067.0,1704132.0,N
034020,두산에너빌리티,KOSPI,Unknown,Unknown,109600,70205501601600,689.31,,1.52,413.62,8066734,7187517.0,17459913.0,3105960.0,100895.0,91765.0,84005.0,Y
012450,한화에어로스페이스,KOSPI,Unknown,Unknown,1320000,68063689320000,46.2,7.01,19.14,222.84,270214,399634.0,1295365.0,111115.0,1348750.0,1208450.0,1084808.0,Y
000270,기아,KOSPI,Unknown,Unknown,168500,65784590163000,8.82,1.07,12.92,53.97,2000787,1776945.0,3876333.0,904634.0,172555.0,152812.0,132696.0,Y
329180,HD현대중공업,KOSPI,Unknown,Unknown,559000,58673324775000,38.39,7.68,11.39,322.01,269023,268455.0,481480.0,153623.0,582900.0,572367.0,558146.0,Y
105560,KB금융,KOSPI,Unknown,Unknown,155200,57866390616000,10.4,0.94,8.86,,1114958,1547973.0,2845836.0,803427.0,155005.0,141543.0,131233.0,Y
028260,삼성물산,KOSPI,Unknown,Unknown,297500,50568021840000,21.0,0.98,6.02,113.38,626346,500619.0,993497.0,233252.0,303975.0,288775.0,253213.0,Y
068270,셀트리온,KOSPI,Unknown,Unknown,202000,46671748722000,45.42,2.57,5.94,891.24,452728,639876.0,1535839.0,359729.0,219870.0,211928.0,195741.0,Y
055550,신한지주,KOSPI,Unknown,Unknown,97900,46468661941900,10.02,0.81,8.11,,3167172,2115043.0,3419674.0,1067616.0,94785.0,87217.0,81128.0,Y
032830,삼성생명,KOSPI,Unknown,Unknown,231500,46300000000000,20.11,0.66,4.96,,569040,501123.0,1080275.0,208804.0,220475.0,189592.0,172673.0,Y
042660,한화오션,KOSPI,Unknown,Unknown,129100,39557969165400,31.75,6.41,22.59,286.2,853925,2117052.0,6443038.0,579582.0,133975.0,132165.0,125196.0,Y
006800,미래에셋증권,KOSPI,Unknown,Unknown,67700,37594920821600,39.09,3.13,7.94,190.29,3126897,6649895.0,22496938.0,2521922.0,68134.0,45435.0,34008.0,Y
012330,현대모비스,KOSPI,Unknown,Unknown,400500,36338399491500,10.09,0.73,7.68,55.42,357334,403628.0,1070764.0,166536.0,438550.0,424658.0,367879.0,Y
035420,NAVER,KOSPI,Unknown,Unknown,221500,34742859317000,17.9,1.2,7.37,258.67,673277,1003970.0,2051989.0,474188.0,233375.0,246350.0,249800.0,N
009150,삼성전기,KOSPI,Unknown,Unknown,464500,34695221792000,51.05,3.68,7.7,271.6,659890,933418.0,1645328.0,368404.0,417900.0,325408.0,275762.0,Y
267260,HD현대일렉트릭,KOSPI,Unknown,Unknown,959000,34569202465000,47.19,17.01,41.5,729.2,107776,167170.0,340891.0,86102.0,978950.0,905683.0,830892.0,Y
010130,고려아연,KOSPI,Unknown,Unknown,1587000,33125401803000,41.21,,8.48,154.54,47993,38917.0,96133.0,17390.0,1748000.0,1592117.0,1373650.0,Y
006400,삼성SDI,KOSPI,Unknown,Unknown,400500,32274504765000,48.11,,3.15,213.72,397940,907265.0,2584055.0,359325.0,404650.0,352017.0,314417.0,Y
015760,한국전력,KOSPI,Unknown,Unknown,49150,31552534384550,3.69,0.66,19.4,32.06,3110094,3550575.0,9721473.0,1629831.0,52988.0,54726.0,49609.0,N
086790,하나금융지주,KOSPI,Unknown,Unknown,113200,31506482144800,8.02,0.69,9.17,,2141242,1129494.0,2118851.0,569082.0,116560.0,106670.0,98517.0,Y
042700,한미반도체,KOSPI,Unknown,Unknown,309500,29499125900000,138.6,,34.76,3626.2,680315,2108635.0,6701641.0,656744.0,280100.0,207042.0,165178.0,Y
009540,HD한국조선해양,KOSPI,Unknown,Unknown,404500,28627725422000,14.13,2.3,11.16,96.1,271901,268328.0,556756.0,114908.0,426800.0,421333.0,424917.0,N
005490,POSCO홀딩스,KOSPI,Unknown,Unknown,343500,27800469012000,42.49,0.47,1.18,38.43,462448,548770.0,1513690.0,201085.0,363300.0,346542.0,324121.0,Y
010120,LS ELECTRIC,KOSPI,Unknown,Unknown,886000,26580000000000,99.93,13.32,13.44,548.15,155545,163646.0,303713.0,85763.0,736900.0,600842.0,502096.0,Y
034730,SK,KOSPI,Unknown,Unknown,360000,26100973080000,16.47,0.79,6.35,21.06,403204,332353.0,1048503.0,129027.0,362200.0,315542.0,279900.0,Y
272210,한화시스템,KOSPI,Unknown,Unknown,136000,25693036904000,106.08,5.24,6.6,592.93,1048257,3561822.0,13590699.0,1007068.0,133800.0,99065.0,76240.0,Y
298040,효성중공업,KOSPI,Unknown,Unknown,2735000,25502638780000,49.05,10.83,24.41,366.4,34145,47961.0,75826.0,20172.0,2602500.0,2299883.0,2066725.0,Y
010140,삼성중공업,KOSPI,Unknown,Unknown,28550,25124000000000,46.05,5.88,13.74,198.04,5947337,6184962.0,16051728.0,2252176.0,28590.0,27928.0,26364.0,Y
316140,우리금융지주,KOSPI,Unknown,Unknown,33900,24885187248000,7.81,0.7,9.39,,6724512,3180359.0,7692213.0,1695292.0,34982.0,31609.0,29010.0,Y
035720,카카오,KOSPI,Unknown,Unknown,50000,22138321400000,95.24,2.07,0.56,273.74,1270502,3216575.0,9617787.0,1021895.0,53888.0,57429.0,59277.0,N
051910,LG화학,KOSPI,Unknown,Unknown,310000,21883626330000,13.34,,5.5,45.3,214904,477975.0,1146026.0,207291.0,331075.0,331050.0,344146.0,N
000810,삼성화재,KOSPI,Unknown,Unknown,474500,21832293047500,11.91,1.08,13.11,,181062,142206.0,258081.0,88322.0,512475.0,503367.0,487758.0,Y
267250,HD현대,KOSPI,Unknown,Unknown,265500,20972664067500,29.22,1.95,6.36,29.69,212777,227075.0,506567.0,112960.0,278025.0,241723.0,216218.0,Y
