Code,Name,Market,Sector,Industry,Price,MarketCap,PER,PBR,ROE,PSR,Volume_today,Volume_month_avg,Volume_month_max,Volume_month_min,ma20,ma60,ma120,GoldenAlign_YN
005930,삼성전자,KOSPI,Unknown,Unknown,208500,1234244506737000,31.76,3.26,10.85,236.64,25148481,33689930,89427954,19369566,191170.0,157077.0,126969.0,Y
000660,SK하이닉스,KOSPI,Unknown,Unknown,1056000,752613697440000,17.91,6.05,44.15,324.27,4347884,4650425,9253420,3125590,945550.0,803650.0,649679.0,Y
005935,삼성전자우,KOSPI,Unknown,Unknown,149100,121661822402400,22.71,2.33,,23.33,5229933,5756868,13351762,2171668,133640.0,113217.0,94034.0,Y
005380,현대차,KOSPI,Unknown,Unknown,545000,111592982470000,15.43,1.24,8.41,57.44,930616,2194925,4855346,950437,537700.0,447742.0,350942.0,Y
373220,LG에너지솔루션,KOSPI,Unknown,Unknown,383500,89739000000000,83.64,,5.19,335.37,279721,411241,826847,187479,389175.0,391633.0,407408.0,N
402340,SK스퀘어,KOSPI,Unknown,Unknown,630000,83214882450000,9.48,3.01,37.82,1829.18,559150,621585,1146627,342332,575700.0,477608.0,372220.0,Y
207940,삼성바이오로직스,KOSPI,Unknown,Unknown,1626000,75269086326000,61.19,10.1,19.44,1400.54,50561,53523,97725,29429,1664250.0,1740917.0,1702834.0,N
012450,한화에어로스페이스,KOSPI,Unknown,Unknown,1390000,71673127390000,25.4,7.94,53.94,266.39,161859,421431,1295365,168169,1322300.0,1192083.0,1078658.0,Y
034020,두산에너빌리티,KOSPI,Unknown,Unknown,107300,68732210965800,674.84,,1.52,404.94,4134308,7296899,17459913,3105960,99825.0,90778.0,83242.0,Y
000270,기아,KOSPI,Unknown,Unknown,175100,68361315949800,9.16,1.11,12.92,56.09,1186749,1801626,3876333,972962,171795.0,151132.0,131508.0,Y
329180,HD현대중공업,KOSPI,Unknown,Unknown,590000,61927122750000,40.52,8.1,11.39,339.87,231091,275734,481480,153623,579150.0,571000.0,556850.0,Y
105560,KB금융,KOSPI,Unknown,Unknown,154700,57679965388500,10.36,0.94,8.86,,1289740,1630641,2845836,803427,156305.0,140513.0,130625.0,Y
028260,삼성물산,KOSPI,Unknown,Unknown,299000,50822986656000,21.11,0.98,6.02,113.95,524546,496542,993497,271092,307075.0,287100.0,251562.0,Y
068270,셀트리온,KOSPI,Unknown,Unknown,209500,48404610679500,66.13,2.74,2.46,1179.71,413983,703435,1723596,359729,223120.0,211293.0,195134.0,Y
032830,삼성생명,KOSPI,Unknown,Unknown,235000,47000000000000,20.41,0.67,4.96,,598488,490311,1080275,208804,217725.0,186910.0,171467.0,Y
055550,신한지주,KOSPI,Unknown,Unknown,95000,45092164295000,9.72,0.79,8.11,,2543008,2085276,3419674,1067616,95635.0,86575.0,80705.0,Y
042660,한화오션,KOSPI,Unknown,Unknown,132900,40722340062600,32.69,6.6,22.59,294.62,1000923,2141432,6443038,682572,133910.0,131483.0,124841.0,Y
006800,미래에셋증권,KOSPI,Unknown,Unknown,69900,39639292806600,40.36,3.23,7.94,200.63,3198774,6773464,22496938,3225955,67029.0,43869.0,33248.0,Y
012330,현대모비스,KOSPI,Unknown,Unknown,430000,39015010690000,10.84,0.78,7.68,59.5,210557,410165,1070764,166536,440450.0,422633.0,366008.0,Y
035420,NAVER,KOSPI,Unknown,Unknown,226500,35527122507000,18.3,1.23,7.37,264.51,687521,1069775,2051989,531797,236425.0,246767.0,249983.0,N
010130,고려아연,KOSPI,Unknown,Unknown,1695000,35379682455000,44.01,,2.28,215.36,26895,38570,96133,17390,1752750.0,1586367.0,1363425.0,Y
267260,HD현대일렉트릭,KOSPI,Unknown,Unknown,974000,35109909490000,,,39.34,863.78,103612,177444,340891,86102,978100.0,901067.0,824692.0,Y
009150,삼성전기,KOSPI,Unknown,Unknown,464000,34657874944000,50.99,3.67,7.7,271.45,856316,906520,1645328,368404,402175.0,318325.0,271082.0,Y
006400,삼성SDI,KOSPI,Unknown,Unknown,405000,32637139650000,48.65,,3.15,216.43,384421,909956,2584055,359325,402275.0,348500.0,311067.0,Y
015760,한국전력,KOSPI,Unknown,Unknown,49950,32066105646150,3.75,0.67,19.4,32.58,2236833,3539174,9721473,1629831,54070.0,54760.0,49403.0,N
086790,하나금융지주,KOSPI,Unknown,Unknown,114500,31868305703000,8.11,0.69,9.17,,647673,1164178,2118851,569082,118055.0,105943.0,98133.0,Y
009540,HD한국조선해양,KOSPI,Unknown,Unknown,425000,30078574300000,14.85,2.42,11.16,100.97,175008,283204,556756,114908,424600.0,421683.0,424825.0,N
042700,한미반도체,KOSPI,Unknown,Unknown,311000,29642094200000,139.27,,34.76,3643.77,920505,2098952,6701641,656744,269800.0,200655.0,161565.0,Y
005490,POSCO홀딩스,KOSPI,Unknown,Unknown,349500,28286066724000,43.23,0.47,1.18,39.1,242341,566284,1513690,201085,366850.0,345517.0,323117.0,Y
272210,한화시스템,KOSPI,Unknown,Unknown,139800,26410930582200,109.05,5.39,6.6,609.5,1109535,3550830,13590699,828968,130220.0,96102.0,74862.0,Y
010140,삼성중공업,KOSPI,Unknown,Unknown,29100,25608000000000,46.94,5.99,13.74,201.85,4223905,6174752,16051728,3056046,28502.0,27811.0,26243.0,Y
034730,SK,KOSPI,Unknown,Unknown,352500,25557202807500,16.12,0.77,6.35,20.59,191056,334182,1048503,137897,361875.0,312450.0,277962.0,Y
298040,효성중공업,KOSPI,Unknown,Unknown,2731000,25465340588000,48.98,10.81,24.41,365.86,50676,49038,75826,20172,2570750.0,2272800.0,2044900.0,Y
010120,LS ELECTRIC,KOSPI,Unknown,Unknown,833000,24990000000000,93.95,12.53,13.44,515.36,178348,163211,303713,85763,718200.0,588442.0,493058.0,Y
316140,우리금융지주,KOSPI,Unknown,Unknown,33500,24591556720000,7.72,0.7,9.39,,2223730,3308382,7692213,1695292,35532.0,31403.0,28894.0,Y
035720,카카오,KOSPI,Unknown,Unknown,51500,22802471042000,98.1,2.13,0.56,281.95,1814895,3241913,9617787,1021895,54622.0,57696.0,59489.0,N
000810,삼성화재,KOSPI,Unknown,Unknown,494000,22729510570000,12.4,1.12,13.11,,138480,139695,258081,87220,520850.0,503408.0,487442.0,Y
051910,LG화학,KOSPI,Unknown,Unknown,320000,22589549760000,13.77,,5.5,46.76,278071,492592,1146026,217879,332950.0,332708.0,343796.0,N
267250,HD현대,KOSPI,Unknown,Unknown,275500,21762594917500,30.32,2.02,6.36,30.81,141328,231207,506567,112960,277050.0,239515.0,214453.0,Y
064350,현대로템,KOSPI,Unknown,Unknown,193000,21064462549000,27.36,6.84,30.05,301.72,508936,1065803,3837109,445711,213955.0,208078.0,207046.0,Y
011200,HMM,KOSPI,Unknown,Unknown,21100,19902321167000,10.79,0.75,6.9,201.76,1164348,3614603,15527327,1025325,21805.0,20832.0,20630.0,Y
138040,메리츠금융지주,KOSPI,Unknown,Unknown,115800,19570347413400,9.2,1.92,23.44,,326492,376289,758024,191666,123325.0,115107.0,114375.0,Y
066570,LG전자,KOSPI,Unknown,Unknown,120000,19546366440000,22.55,0.9,4.28,21.2,933385,2542616,13160492,648220,122455.0,106033.0,96143.0,Y
096770,SK이노베이션,KOSPI,Unknown,Unknown,114300,19322733668400,5.43,,14.42,25.5,394221,1068503,3617613,333667,121730.0,112100.0,113828.0,N
000150,두산,KOSPI,Unknown,Unknown,1189000,19254469815000,425.1,12.4,14.57,97.73,79995,139164,267843,52063,1082250.0,915467.0,855292.0,Y
024110,기업은행,KOSPI,Unknown,Unknown,23850,19018606975650,7.04,0.54,8.06,,1187245,1526345,2497739,804318,24842.0,22547.0,21230.0,Y
000720,현대건설,KOSPI,Unknown,Unknown,170100,18941615626500,71.74,,2.09,61.68,1475128,2032033,9658729,716382,145210.0,109122.0,86006.0,Y
047810,한국항공우주,KOSPI,Unknown,Unknown,194300,18939413290100,138.19,10.63,10.42,517.67,810809,1100580,2680432,558992,180515.0,156570.0,130906.0,Y
033780,KT&G,KOSPI,Unknown,Unknown,158700,18199183561500,17.69,1.77,11.77,267.65,216109,368542,753342,165822,163260.0,153217.0,146202.0,Y
003670,포스코퓨처엠,KOSPI,Unknown,Unknown,200500,17833717110000,519.43,4.38,0.92,588.01,381738,484632,1585544,177842,218220.0,209578.0,200398.0,Y
086280,현대글로비스,KOSPI,Unknown,Unknown,236500,17737500000000,12.76,1.81,13.24,59.48,179640,330812,797233,144522,251350.0,233257.0,201412.0,Y
017670,SK텔레콤,KOSPI,Unknown,Unknown,81200,17440952303600,42.71,1.34,3.33,98.29,806629,1343465,4134911,415991,78595.0,66457.0,60230.0,Y
352820,하이브,KOSPI,Unknown,Unknown,367500,15827433405000,64.09,,0.31,599.09,227023,274158,650254,126691,370700.0,353817.0,323138.0,Y
030200,KT,KOSPI,Unknown,Unknown,60400,15222109774000,8.79,0.83,2.85,53.84,338150,629160,1396175,263178,62290.0,57083.0,53688.0,Y
079550,LIG넥스원,KOSPI,Unknown,Unknown,689000,15158000000000,47.19,10.67,19.59,368.27,281479,584086,2187274,89970,624175.0,526100.0,486879.0,Y
003550,LG,KOSPI,Unknown,Unknown,93200,14373451722000,21.06,0.52,2.16,179.43,255848,463070,991696,199943,96020.0,89605.0,84302.0,Y
278470,에이피알,KOSPI,Unknown,Unknown,362000,13552612110000,58.37,38.86,41.34,935.11,259243,443067,921850,180966,302650.0,267767.0,253946.0,Y
071050,한국금융지주,KOSPI,Unknown,Unknown,241000,13429964072000,8.35,1.21,11.54,67.6,325013,424950,729525,232424,245050.0,204407.0,182903.0,Y
0126Z0,삼성에피스홀딩스,KOSPI,Unknown,Unknown,538000,13387080362000,,232651.0,,702.37,54058,148117,901378,37493,586500.0,630067.0,,N
005830,DB손해보험,KOSPI,Unknown,Unknown,189800,13169083200000,8.43,1.13,18.98,,221051,355942,801928,123546,186265.0,151468.0,141511.0,Y
