Code,Name,Market,Sector,Industry,Price,MarketCap,PER,PBR,ROE,PSR,Volume_today,Volume_month_avg,Volume_month_max,Volume_month_min,ma20,ma60,ma120,GoldenAlign_YN
005930,삼성전자,KOSPI,Unknown,Unknown,188700,1117035675881400,28.75,2.95,10.85,216.5,19747901,34663069.0,89427954.0,19369566.0,188720.0,154303.0,125021.0,Y
000660,SK하이닉스,KOSPI,Unknown,Unknown,974000,694172103510000,16.52,5.58,44.15,301.84,3829496,4771080.0,9253420.0,3125590.0,935150.0,790183.0,638775.0,Y
005935,삼성전자우,KOSPI,Unknown,Unknown,138300,112849296031200,21.07,2.16,,21.87,3352492,5749550.0,13351762.0,2171668.0,131195.0,111297.0,92708.0,Y
005380,현대차,KOSPI,Unknown,Unknown,506000,103607429596000,14.32,1.15,8.41,53.46,1348089,2233408.0,4855346.0,950437.0,535775.0,440558.0,346096.0,Y
373220,LG에너지솔루션,KOSPI,Unknown,Unknown,366000,85644000000000,79.83,,5.19,320.06,280349,405328.0,826847.0,187479.0,390975.0,394050.0,407067.0,N
012450,한화에어로스페이스,KOSPI,Unknown,Unknown,1476000,76107579876000,26.98,8.44,53.94,282.87,180940,429583.0,1295365.0,168169.0,1292500.0,1175300.0,1071450.0,Y
402340,SK스퀘어,KOSPI,Unknown,Unknown,562000,74232958630000,10.66,3.04,21.7,1631.64,523408,669146.0,1175181.0,342332.0,572000.0,468717.0,365807.0,Y
207940,삼성바이오로직스,KOSPI,Unknown,Unknown,1568000,72584211168000,59.01,9.74,19.44,1350.58,29984,56048.0,97725.0,30115.0,1677600.0,1744350.0,1701979.0,N
034020,두산에너빌리티,KOSPI,Unknown,Unknown,105700,67707313132200,664.78,,1.52,398.9,5817407,7604119.0,17459913.0,3886617.0,98800.0,89893.0,82508.0,Y
000270,기아,KOSPI,Unknown,Unknown,162000,63246905676000,8.22,1.07,19.09,55.21,1055451,1825114.0,3876333.0,972962.0,171155.0,149788.0,130535.0,Y
329180,HD현대중공업,KOSPI,Unknown,Unknown,583000,61192394175000,40.04,8.01,11.39,336.57,153623,279542.0,481480.0,184053.0,574200.0,570367.0,555658.0,Y
105560,KB금융,KOSPI,Unknown,Unknown,149300,55666572931500,10.0,0.91,8.86,,957489,1798604.0,3931844.0,803427.0,157305.0,139695.0,130099.0,Y
028260,삼성물산,KOSPI,Unknown,Unknown,278500,47338467504000,19.66,0.91,6.02,106.14,315465,530736.0,993497.0,271092.0,310850.0,286250.0,249991.0,Y
068270,셀트리온,KOSPI,Unknown,Unknown,200000,46209652200000,63.13,2.62,2.46,1126.49,432257,785279.0,1723596.0,430951.0,226170.0,210752.0,194615.0,Y
055550,신한지주,KOSPI,Unknown,Unknown,90000,42718892490000,9.21,0.75,8.11,,1067616,2184420.0,3419674.0,1403896.0,96515.0,86135.0,80338.0,Y
032830,삼성생명,KOSPI,Unknown,Unknown,212000,42400000000000,18.41,0.61,4.96,,236922,500465.0,1080275.0,248463.0,216160.0,184903.0,170565.0,Y
042660,한화오션,KOSPI,Unknown,Unknown,131900,40415926668600,32.44,7.39,11.52,292.41,1222379,2183880.0,6443038.0,949644.0,133710.0,130860.0,124518.0,Y
006800,미래에셋증권,KOSPI,Unknown,Unknown,70900,40206378540600,40.94,3.27,7.94,203.5,4166413,7376238.0,22496938.0,3531700.0,65167.0,42260.0,32445.0,Y
012330,현대모비스,KOSPI,Unknown,Unknown,401000,36383765783000,10.11,0.73,7.68,55.62,177548,422266.0,1070764.0,219665.0,443925.0,421375.0,364475.0,Y
035420,NAVER,KOSPI,Unknown,Unknown,218000,34193875084000,17.61,1.18,7.37,254.58,531797,1169751.0,2051989.0,652490.0,239900.0,247533.0,250208.0,N
010130,고려아연,KOSPI,Unknown,Unknown,1600000,33396750400000,103.27,,2.28,203.29,19945,40053.0,96133.0,20975.0,1761100.0,1583733.0,1352958.0,Y
267260,HD현대일렉트릭,KOSPI,Unknown,Unknown,905000,32622657175000,52.89,18.32,39.34,802.58,108390,189392.0,340891.0,106954.0,983000.0,899000.0,819225.0,Y
006400,삼성SDI,KOSPI,Unknown,Unknown,383000,30864257990000,46.01,,3.15,204.67,483616,926407.0,2584055.0,367852.0,401575.0,345900.0,307986.0,Y
009150,삼성전기,KOSPI,Unknown,Unknown,413000,30848496448000,45.39,3.27,7.7,241.62,703241,883374.0,1645328.0,368404.0,390350.0,313025.0,267072.0,Y
086790,하나금융지주,KOSPI,Unknown,Unknown,108400,30170518237600,7.68,0.66,9.17,,577858,1214233.0,2118851.0,624983.0,119540.0,105377.0,97784.0,Y
015760,한국전력,KOSPI,Unknown,Unknown,46900,30108115211300,3.52,0.65,9.22,30.59,1903043,3591440.0,9721473.0,1629831.0,55405.0,54818.0,49231.0,Y
009540,HD한국조선해양,KOSPI,Unknown,Unknown,409500,28981591002000,14.31,2.33,11.16,97.29,123247,302607.0,556756.0,180646.0,421725.0,422775.0,424908.0,N
042700,한미반도체,KOSPI,Unknown,Unknown,300000,28593660000000,119.47,,27.43,4419.42,879249,2158051.0,6701641.0,670835.0,259020.0,194658.0,158064.0,Y
005490,POSCO홀딩스,KOSPI,Unknown,Unknown,333500,26991139492000,59.98,0.45,2.0,38.92,237017,592701.0,1513690.0,270855.0,370200.0,344708.0,322204.0,Y
272210,한화시스템,KOSPI,Unknown,Unknown,140000,26448714460000,44.43,5.51,19.63,751.94,1759243,3637042.0,13590699.0,828968.0,126410.0,93139.0,73449.0,Y
