Code,Name,Market,Sector,Industry,Price,MarketCap,PER,PBR,ROE,PSR,Volume_today,Volume_month_avg,Volume_month_max,Volume_month_min,ma20,ma60,ma120,GoldenAlign_YN
005930,삼성전자,KOSPI,Unknown,Unknown,183500,1086253558687000,27.96,2.87,10.85,211.04,19566331,35520746,89427954,19369566,187865.0,153045.0,124097.0,Y
000660,SK하이닉스,KOSPI,Unknown,Unknown,910000,648559152150000,15.44,5.21,44.15,283.78,3645102,4854199,9253420,3125590,934000.0,784800.0,633725.0,Y
005935,삼성전자우,KOSPI,Unknown,Unknown,133900,109259007509600,20.4,2.09,,21.23,3042453,5805953,13351762,2171668,130260.0,110415.0,92086.0,Y
005380,현대차,KOSPI,Unknown,Unknown,517000,105859765022000,14.63,1.18,8.41,54.62,950437,2265356,4855346,1146292,533825.0,436983.0,343625.0,Y
373220,LG에너지솔루션,KOSPI,Unknown,Unknown,369000,86346000000000,80.48,,4.93,370.52,370087,403894,826847,187479,392250.0,395258.0,406829.0,N
012450,한화에어로스페이스,KOSPI,Unknown,Unknown,1488000,76726340688000,27.2,8.5,53.94,285.17,324291,430007,1295365,168169,1277750.0,1165883.0,1067108.0,Y
207940,삼성바이오로직스,KOSPI,Unknown,Unknown,1592000,73695193992000,59.91,9.89,19.44,1371.25,42424,56827,97725,30115,1682700.0,1745567.0,1701394.0,N
402340,SK스퀘어,KOSPI,Unknown,Unknown,534000,70534519410000,10.13,2.89,21.7,1550.35,420495,700411,1175181,342332,573450.0,465217.0,362809.0,Y
034020,두산에너빌리티,KOSPI,Unknown,Unknown,106500,68219762049000,669.81,,1.52,401.92,9435079,7520457,17459913,3886617,98245.0,89398.0,82142.0,Y
000270,기아,KOSPI,Unknown,Unknown,164300,64144855571400,8.34,1.08,19.09,55.99,1614149,1823982,3876333,972962,170630.0,149107.0,130049.0,Y
329180,HD현대중공업,KOSPI,Unknown,Unknown,596000,62556890100000,40.93,8.18,11.39,344.07,187775,282987,481480,184053,571400.0,569950.0,554892.0,Y
105560,KB금융,KOSPI,Unknown,Unknown,148900,55517432749500,9.97,0.9,8.86,,1424028,1780994,3931844,803427,157430.0,139288.0,129838.0,Y
028260,삼성물산,KOSPI,Unknown,Unknown,280500,47678420592000,19.8,1.11,6.83,118.02,310180,537269,993497,271092,312450.0,285700.0,249173.0,Y
068270,셀트리온,KOSPI,Unknown,Unknown,205500,47480417635500,64.87,2.69,2.46,1157.47,516104,824385,1723596,430951,227395.0,210422.0,194317.0,Y
032830,삼성생명,KOSPI,Unknown,Unknown,216000,43200000000000,18.76,0.62,4.96,,436847,496421,1080275,248463,215010.0,183877.0,170087.0,Y
055550,신한지주,KOSPI,Unknown,Unknown,90800,43098615978800,9.29,0.76,8.11,,2446601,2130254,3419674,1254944,96645.0,85910.0,80143.0,Y
042660,한화오션,KOSPI,Unknown,Unknown,136900,41947993638600,34.58,7.67,11.52,325.33,1188043,2241233,6443038,949644,133525.0,130453.0,124299.0,Y
006800,미래에셋증권,KOSPI,Unknown,Unknown,69500,39412458513000,39.87,3.19,7.94,199.49,3556373,7398063,22399829,3516456,64645.0,41642.0,32196.0,Y
012330,현대모비스,KOSPI,Unknown,Unknown,404000,36655963532000,10.18,0.75,9.35,59.78,267460,424931,1070764,219665,445475.0,420675.0,363767.0,Y
035420,NAVER,KOSPI,Unknown,Unknown,223000,34978138274000,18.02,1.21,7.37,260.41,706127,1208173,2051989,652490,241250.0,247892.0,250296.0,N
010130,고려아연,KOSPI,Unknown,Unknown,1628000,33981193532000,105.08,,2.28,206.85,22703,41169,96133,20975,1765150.0,1581267.0,1346833.0,Y
267260,HD현대일렉트릭,KOSPI,Unknown,Unknown,929000,33487788415000,54.29,18.8,39.34,823.87,147873,191312,340891,106954,983200.0,897667.0,816150.0,Y
006400,삼성SDI,KOSPI,Unknown,Unknown,388000,31267185640000,46.61,,3.15,207.34,531172,954537,2584055,367852,401175.0,344725.0,306403.0,Y
015760,한국전력,KOSPI,Unknown,Unknown,48300,31006864919100,3.76,0.67,9.22,31.77,4084749,3525952,9721473,1629831,56120.0,54842.0,49151.0,Y
086790,하나금융지주,KOSPI,Unknown,Unknown,108900,30309681144600,7.72,0.66,9.17,,1312788,1199559,2118851,624983,120035.0,105088.0,97602.0,Y
009150,삼성전기,KOSPI,Unknown,Unknown,400500,29914825248000,44.02,3.17,7.7,234.3,374842,893037,1645328,368404,385525.0,310825.0,265239.0,Y
009540,HD한국조선해양,KOSPI,Unknown,Unknown,416000,29441616256000,14.54,2.37,11.16,98.83,180646,304459,556756,181379,420425.0,423208.0,424896.0,N
042700,한미반도체,KOSPI,Unknown,Unknown,305500,29117877100000,121.66,,27.43,4500.44,830276,2175357,6701641,670835,253635.0,191585.0,156246.0,Y
272210,한화시스템,KOSPI,Unknown,Unknown,144400,27279959771600,45.83,5.68,19.63,775.57,1667821,3720646,13590699,828968,124410.0,91524.0,72692.0,Y
005490,POSCO홀딩스,KOSPI,Unknown,Unknown,337000,27274404824000,60.61,0.46,2.0,39.33,304728,631284,1513690,270855,371525.0,344333.0,321762.0,Y
010140,삼성중공업,KOSPI,Unknown,Unknown,30700,27016000000000,76.75,6.57,1.77,251.72,10586604,5670245,16051728,3048535,28262.0,27640.0,26054.0,Y
298040,효성중공업,KOSPI,Unknown,Unknown,2593000,24178552964000,55.46,11.07,14.9,410.52,42955,53050,75826,30420,2545150.0,2243283.0,2016300.0,Y
034730,SK,KOSPI,Unknown,Unknown,331000,23998394693000,14.19,0.66,5.64,19.33,220523,344519,1048503,137897,361725.0,308992.0,275162.0,Y
316140,우리금융지주,KOSPI,Unknown,Unknown,32200,23637257504000,7.42,0.67,9.39,,2295229,3382463,7692213,1737020,36098.0,31170.0,28728.0,Y
010120,LS ELECTRIC,KOSPI,Unknown,Unknown,747000,22410000000000,84.25,11.23,13.44,462.16,121234,181289,303713,90355,703600.0,576142.0,482212.0,Y
035720,카카오,KOSPI,Unknown,Unknown,50600,22403981256800,96.38,2.1,0.56,277.03,1196401,3478081,9617787,1596311,55752.0,58131.0,59765.0,N
000810,삼성화재,KOSPI,Unknown,Unknown,474000,21809287470000,11.89,1.08,13.11,,120794,138696,258081,80473,530725.0,506642.0,487429.0,Y
064350,현대로템,KOSPI,Unknown,Unknown,198500,21664745160500,28.14,7.04,30.05,310.32,763707,1105038,3837109,445711,215475.0,207545.0,207474.0,Y
051910,LG화학,KOSPI,Unknown,Unknown,297500,21001222042500,12.8,,5.5,43.69,273412,491708,1146026,217879,335800.0,336308.0,343546.0,N
267250,HD현대,KOSPI,Unknown,Unknown,262500,20735684812500,28.89,1.93,6.36,29.36,137934,240312,506567,125798,274350.0,236607.0,211561.0,Y
011200,HMM,KOSPI,Unknown,Unknown,21050,19855159268500,8.18,0.78,15.35,183.97,1906186,3616190,15527327,1469694,21795.0,20806.0,20706.0,Y
138040,메리츠금융지주,KOSPI,Unknown,Unknown,112000,19624838576000,8.9,1.86,23.44,,257339,390539,758024,234448,125375.0,115032.0,114778.0,Y
096770,SK이노베이션,KOSPI,Unknown,Unknown,112600,19035343928800,7.98,,9.65,23.47,1213989,1026153,3617613,310740,121840.0,112267.0,113746.0,N
066570,LG전자,KOSPI,Unknown,Unknown,113100,18422450369700,21.26,0.9,1.81,20.71,733098,2563238,13160492,802143,122090.0,105097.0,95201.0,Y
024110,기업은행,KOSPI,Unknown,Unknown,23100,18420537573900,6.82,0.52,8.06,,1143463,1593776,2497739,1030857,25018.0,22436.0,21149.0,Y
000720,현대건설,KOSPI,Unknown,Unknown,164400,18306887766000,69.34,,2.09,59.61,2710670,2081194,9658729,976442,138000.0,104762.0,83448.0,Y
047810,한국항공우주,KOSPI,Unknown,Unknown,182700,17808702048900,129.94,9.99,10.42,486.76,566297,1106160,2680432,558992,176035.0,152535.0,128589.0,Y
000150,두산,KOSPI,Unknown,Unknown,1099000,17797024665000,392.92,11.46,14.57,90.33,52063,145423,267843,75409,1051450.0,903917.0,843475.0,Y
033780,KT&G,KOSPI,Unknown,Unknown,153000,17545526685000,17.05,1.73,12.66,268.61,210944,390516,753342,205487,165800.0,152615.0,145676.0,Y
003670,포스코퓨처엠,KOSPI,Unknown,Unknown,190900,16979833398000,73.91,,7.98,549.69,1585544,432500,781807,177842,222710.0,211058.0,198887.0,Y
086280,현대글로비스,KOSPI,Unknown,Unknown,223000,16725000000000,12.04,1.71,13.24,56.08,192263,344749,797233,167976,254875.0,231168.0,200505.0,Y
017670,SK텔레콤,KOSPI,Unknown,Unknown,75000,16109253975000,27.45,1.37,10.83,93.89,420881,1540103,4134911,622743,78170.0,65290.0,59678.0,Y
079550,LIG넥스원,KOSPI,Unknown,Unknown,723000,15906000000000,49.52,11.2,19.59,386.44,363214,547549,2187274,89970,584600.0,509100.0,481429.0,Y
352820,하이브,KOSPI,Unknown,Unknown,361500,15569026329000,18075.0,,0.31,589.31,185472,326318,1159713,126691,373700.0,350758.0,321408.0,Y
030200,KT,KOSPI,Unknown,Unknown,59600,15020492426000,15.59,0.82,2.85,53.13,1396175,627577,1088433,282942,62500.0,56703.0,53489.0,Y
003550,LG,KOSPI,Unknown,Unknown,90000,13879942650000,20.33,0.5,2.16,173.27,271909,472350,991696,250517,96680.0,89248.0,83976.0,Y
0126Z0,삼성에피스홀딩스,KOSPI,Unknown,Unknown,532000,13237782068000,,,,,37493,154882,901378,56517,599300.0,633783.0,,N
047050,포스코인터내셔널,KOSPI,Unknown,Unknown,73700,12965509475600,21.11,1.92,8.14,39.72,1879272,1275634,5457804,406434,70945.0,61076.0,56760.0,Y
278470,에이피알,KOSPI,Unknown,Unknown,342500,12820855587500,55.22,36.76,41.34,884.62,422239,529337,1873862,180966,292825.0,263317.0,251071.0,Y
018260,삼성에스디에스,KOSPI,Unknown,Unknown,160900,12450088020000,16.39,1.29,8.42,88.55,166983,271829,704189,126919,171125.0,173125.0,171234.0,N
005830,DB손해보험,KOSPI,Unknown,Unknown,177300,12301783200000,7.87,1.06,18.98,,199584,377855,801928,198697,185520.0,148630.0,140700.0,Y
071050,한국금융지주,KOSPI,Unknown,Unknown,219500,12231855244000,7.6,1.11,11.54,61.57,277204,414415,729525,195592,245500.0,201215.0,180998.0,Y
010950,S-Oil,KOSPI,Unknown,Unknown,108000,12158941536000,70.04,,2.18,35.7,1297882,1563671,10815571,154220,116450.0,98352.0,85368.0,Y
039490,키움증권,KOSPI,Unknown,Unknown,429000,11631111063000,11.75,1.77,15.98,76.89,95726,172094,300254,108296,449750.0,371325.0,322329.0,Y
