Code,Name,Market,Sector,Industry,Price,MarketCap,PER,PBR,ROE,PSR,Volume_today,Volume_month_avg,Volume_month_max,Volume_month_min,ma20,ma60,ma120,GoldenAlign_YN
005930,삼성전자,KOSPI,Unknown,Unknown,193900,1147817793075800,29.54,3.03,10.85,220.07,20300082,33908061,89427954,19369566,189865.0,155660.0,125982.0,Y
000660,SK하이닉스,KOSPI,Unknown,Unknown,970000,691321294050000,16.45,5.56,44.15,297.86,3326240,4691440,9253420,3125590,940050.0,797000.0,644333.0,Y
005935,삼성전자우,KOSPI,Unknown,Unknown,141000,115052427624000,21.48,2.2,,22.06,4204029,5719102,13351762,2171668,132395.0,112245.0,93367.0,Y
005380,현대차,KOSPI,Unknown,Unknown,522000,106883553852000,14.77,1.19,8.41,55.01,1346937,2202707,4855346,950437,537050.0,444067.0,348454.0,Y
373220,LG에너지솔루션,KOSPI,Unknown,Unknown,380500,89037000000000,82.99,,5.19,332.74,345242,406005,826847,187479,389750.0,392717.0,407200.0,N
402340,SK스퀘어,KOSPI,Unknown,Unknown,587000,77535136505000,,,21.7,1704.22,479303,639520,1146627,342332,572950.0,472958.0,368972.0,Y
207940,삼성바이오로직스,KOSPI,Unknown,Unknown,1587000,73463739237000,59.72,9.86,19.44,1366.95,29429,54787,97725,29984,1670500.0,1742667.0,1702340.0,N
012450,한화에어로스페이스,KOSPI,Unknown,Unknown,1396000,71982507796000,25.51,7.98,53.94,267.54,210274,424375,1295365,168169,1309000.0,1184833.0,1075375.0,Y
034020,두산에너빌리티,KOSPI,Unknown,Unknown,104400,66874583642400,656.6,,1.52,393.99,3105960,7603151,17459913,3886617,99380.0,90367.0,82881.0,Y
000270,기아,KOSPI,Unknown,Unknown,167300,65316094565400,8.75,1.1,19.09,57.01,1068349,1815382,3876333,972962,171520.0,150440.0,130997.0,Y
329180,HD현대중공업,KOSPI,Unknown,Unknown,587000,61612239075000,40.32,8.06,11.39,338.14,164715,277675,481480,153623,576650.0,570767.0,556208.0,Y
105560,KB금융,KOSPI,Unknown,Unknown,150700,56188563568500,10.1,0.92,8.86,,947530,1663406,2845836,803427,156995.0,140103.0,130363.0,Y
068270,셀트리온,KOSPI,Unknown,Unknown,206000,47595941766000,65.03,2.7,2.46,1160.0,359729,759949,1723596,430951,224795.0,210973.0,194848.0,Y
028260,삼성물산,KOSPI,Unknown,Unknown,279500,47508444048000,19.73,0.92,6.02,106.52,288986,509633,993497,271092,308925.0,286692.0,250758.0,Y
032830,삼성생명,KOSPI,Unknown,Unknown,217000,43400000000000,18.85,0.62,4.96,,208804,495589,1080275,236922,216875.0,185885.0,170991.0,Y
055550,신한지주,KOSPI,Unknown,Unknown,91200,43288477723200,9.33,0.76,8.11,,1304315,2116763,3419674,1067616,96120.0,86350.0,80522.0,Y
042660,한화오션,KOSPI,Unknown,Unknown,132700,40661057383800,32.64,6.59,22.59,294.18,682572,2157591,6443038,949644,133760.0,131173.0,124678.0,Y
006800,미래에셋증권,KOSPI,Unknown,Unknown,69100,39185624219400,39.9,3.19,7.94,198.34,3225955,7211879,22496938,3531700,66128.0,43086.0,32855.0,Y
012330,현대모비스,KOSPI,Unknown,Unknown,412500,37427190487500,10.4,0.75,7.68,57.08,166536,413701,1070764,177548,442125.0,422050.0,365183.0,Y
035420,NAVER,KOSPI,Unknown,Unknown,224000,35134990912000,18.1,1.21,7.37,261.58,614390,1106695,2051989,531797,238100.0,247108.0,250083.0,N
010130,고려아연,KOSPI,Unknown,Unknown,1612000,33647226028000,104.05,,2.28,204.81,17390,39120,96133,19945,1756050.0,1584800.0,1358675.0,Y
267260,HD현대일렉트릭,KOSPI,Unknown,Unknown,931000,33559882685000,54.41,18.84,39.34,825.64,86102,187411,340891,106954,981300.0,899983.0,821892.0,Y
009150,삼성전기,KOSPI,Unknown,Unknown,446500,33350735264000,49.07,3.54,7.7,261.21,1036393,890556,1645328,368404,395325.0,315417.0,268948.0,Y
006400,삼성SDI,KOSPI,Unknown,Unknown,389000,31347771170000,46.73,,3.15,207.88,359325,915330,2584055,367852,401675.0,347150.0,309525.0,Y
015760,한국전력,KOSPI,Unknown,Unknown,48200,30942668511400,3.62,0.64,19.4,31.44,2131127,3565915,9721473,1629831,54710.0,54786.0,49309.0,N
086790,하나금융지주,KOSPI,Unknown,Unknown,109900,30588006958600,7.79,0.67,9.17,,569082,1181407,2118851,577858,118850.0,105657.0,97957.0,Y
009540,HD한국조선해양,KOSPI,Unknown,Unknown,420000,29724708720000,14.68,2.39,11.16,99.78,114908,296074,556756,123247,423100.0,422175.0,424796.0,N
042700,한미반도체,KOSPI,Unknown,Unknown,301000,28688972200000,,,27.43,4434.15,656744,2131185,6701641,670835,264275.0,197642.0,159814.0,Y
005490,POSCO홀딩스,KOSPI,Unknown,Unknown,342500,27719536060000,42.36,0.47,2.0,39.97,201085,577577,1513690,237017,368325.0,345133.0,322638.0,Y
272210,한화시스템,KOSPI,Unknown,Unknown,138900,26240903132100,,,19.63,746.03,1443117,3572985,13590699,828968,128345.0,94672.0,74161.0,Y
010140,삼성중공업,KOSPI,Unknown,Unknown,29150,25652000000000,47.02,6.23,1.77,239.01,5136148,6079861,16051728,3048535,28445.0,27763.0,26184.0,Y
034730,SK,KOSPI,Unknown,Unknown,340000,24650919020000,,,5.64,19.85,222981,334152,1048503,137897,361775.0,311242.0,276983.0,Y
316140,우리금융지주,KOSPI,Unknown,Unknown,32600,23930888032000,7.51,0.68,9.39,,1829463,3359335,7692213,1695292,35795.0,31321.0,28836.0,Y
298040,효성중공업,KOSPI,Unknown,Unknown,2546000,23740299208000,,,14.9,403.08,20172,51024,75826,30420,2563500.0,2263067.0,2035725.0,Y
010120,LS ELECTRIC,KOSPI,Unknown,Unknown,762000,22860000000000,85.95,11.46,13.44,471.44,101645,170108,303713,85763,713450.0,584175.0,489342.0,Y
035720,카카오,KOSPI,Unknown,Unknown,51300,22713917756400,97.71,2.13,0.56,280.86,1021895,3280916,9617787,1196401,55002.0,57838.0,59607.0,N
000810,삼성화재,KOSPI,Unknown,Unknown,477500,21970326512500,11.98,1.09,13.11,,100536,139927,258081,87220,524425.0,503608.0,487379.0,Y
051910,LG화학,KOSPI,Unknown,Unknown,307500,21707145472500,13.23,,5.5,44.94,256068,492730,1146026,217879,333700.0,333775.0,343650.0,N
267250,HD현대,KOSPI,Unknown,Unknown,268500,21209643322500,29.55,1.97,6.36,30.03,112960,233459,506567,125798,276125.0,238532.0,213453.0,Y
064350,현대로템,KOSPI,Unknown,Unknown,192900,21053548319700,27.34,6.84,30.05,301.57,480144,1068328,3837109,445711,214435.0,207970.0,207230.0,Y
047810,한국항공우주,KOSPI,Unknown,Unknown,202000,19689971614000,143.67,11.05,10.42,538.18,1124405,1077561,2680432,558992,178535.0,155122.0,130048.0,Y
011200,HMM,KOSPI,Unknown,Unknown,20850,19666511674500,10.66,0.74,6.9,199.37,1025325,3655254,15527327,1564676,21815.0,20830.0,20659.0,Y
138040,메리츠금융지주,KOSPI,Unknown,Unknown,111200,18792941557600,8.83,1.84,23.44,,191666,380867,758024,234448,124325.0,115103.0,114505.0,Y
096770,SK이노베이션,KOSPI,Unknown,Unknown,110900,18747954189200,5.27,,14.42,24.74,443183,1062483,3617613,310740,121860.0,112150.0,113803.0,N
066570,LG전자,KOSPI,Unknown,Unknown,114500,18650491311500,21.52,0.86,4.28,20.23,691353,2552065,13160492,648220,123125.0,105732.0,95831.0,Y
024110,기업은행,KOSPI,Unknown,Unknown,23200,18500280160800,6.85,0.52,8.06,,804318,1571703,2497739,1030857,24932.0,22512.0,21202.0,Y
000150,두산,KOSPI,Unknown,Unknown,1110000,17975156850000,396.85,11.58,14.57,91.23,69293,140347,267843,52063,1072650.0,911500.0,851142.0,Y
000720,현대건설,KOSPI,Unknown,Unknown,161000,17928278165000,67.9,,2.09,58.38,716382,2100254,9658729,976442,142890.0,107738.0,85159.0,Y
033780,KT&G,KOSPI,Unknown,Unknown,155500,17832218297500,17.33,1.74,11.77,262.25,190944,375048,753342,165822,164050.0,152985.0,146021.0,Y
003670,포스코퓨처엠,KOSPI,Unknown,Unknown,193100,17175515082000,500.26,4.22,0.92,566.31,359857,486313,1585544,177842,219490.0,210052.0,199901.0,Y
086280,현대글로비스,KOSPI,Unknown,Unknown,229000,17175000000000,12.36,1.75,13.24,57.6,144522,336220,797233,167976,252675.0,232478.0,201071.0,Y
017670,SK텔레콤,KOSPI,Unknown,Unknown,79700,17118767224100,41.93,1.45,10.83,99.77,1010185,1372174,4134911,415991,78380.0,66028.0,60025.0,Y
352820,하이브,KOSPI,Unknown,Unknown,365000,15719763790000,18250.0,,0.31,595.02,211116,280269,650254,126691,371600.0,352725.0,322529.0,Y
079550,LIG넥스원,KOSPI,Unknown,Unknown,705000,15510000000000,48.29,10.92,19.59,376.82,265204,576346,2187274,89970,611800.0,520733.0,485204.0,Y
030200,KT,KOSPI,Unknown,Unknown,60000,15121301100000,15.69,0.83,2.85,53.48,263178,648866,1396175,279593,62425.0,56960.0,53616.0,Y
003550,LG,KOSPI,Unknown,Unknown,91000,14034164235000,20.56,0.51,2.16,175.19,199943,469238,991696,250517,96385.0,89488.0,84175.0,Y
278470,에이피알,KOSPI,Unknown,Unknown,349000,13065916095000,56.27,37.46,41.34,901.53,348466,444167,921850,180966,299300.0,266075.0,252854.0,Y
0126Z0,삼성에피스홀딩스,KOSPI,Unknown,Unknown,525000,13063600725000,,,,,58077,150090,901378,37493,591000.0,632333.0,,N
071050,한국금융지주,KOSPI,Unknown,Unknown,233500,13012019132000,8.09,1.18,11.54,65.5,332480,423121,729525,232424,244700.0,203305.0,182208.0,Y
047050,포스코인터내셔널,KOSPI,Unknown,Unknown,72000,12666440736000,20.62,1.83,9.27,38.14,990475,1336879,5457804,406434,71920.0,61741.0,57167.0,Y
018260,삼성에스디에스,KOSPI,Unknown,Unknown,163200,12628056960000,16.63,1.27,7.89,86.59,190231,269323,704189,112652,170220.0,172650.0,171185.0,N
005830,DB손해보험,KOSPI,Unknown,Unknown,179100,12426674400000,7.95,1.07,18.98,,123546,364575,801928,152882,186200.0,150530.0,141227.0,Y
039490,키움증권,KOSPI,Unknown,Unknown,444000,12037793268000,12.17,1.83,15.98,79.58,75077,164139,300254,69939,448075.0,376333.0,325333.0,Y
010950,S-Oil,KOSPI,Unknown,Unknown,106500,11990067348000,69.07,,2.18,35.2,690457,1630955,10815571,154220,117110.0,99203.0,86138.0,Y
307950,현대오토에버,KOSPI,Unknown,Unknown,422500,11586632395000,64.47,6.47,10.4,277.62,284029,238745,1270989,65238,432250.0,406675.0,297088.0,Y
